ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Porters Lake,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/27/2016,8/31/2016,4,1
Mira River,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/20/2016,7/21/2016,1,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/28/2016,8/31/2016,3,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/16/2016,7/17/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Veteran,CampsitePermit,Less than 30ft,8/28/2016,8/31/2016,3,1
Salsman,NS ,CANADA ,6,,6,Full,CampsitePermit,Tents,8/12/2016,8/14/2016,2,1
Mira River,QC ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,7/24/2016,7/27/2016,3,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/1/2016,9/3/2016,2,1
Cape Chignecto,NB ,CANADA ,4,,4,Full,BackcountryPermit,Cabin,10/7/2016,10/8/2016,1,1
Battery,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,7/4/2016,7/7/2016,3,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,9/23/2016,9/25/2016,2,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/14/2016,8/15/2016,1,1
Battery,QC ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,7/5/2016,7/6/2016,1,1
Smileys,NS ,CANADA ,2,2,4,Veteran,CampsitePermit,Less than 20ft,7/30/2016,8/1/2016,2,1
Whycocomagh,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 40ft,8/20/2016,8/22/2016,2,1
Whycocomagh,NS ,CANADA ,2,4,6,Full,CampsitePermit,Single Tent,7/30/2016,8/1/2016,2,1
Laurie,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,6/24/2016,6/26/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,9/1/2016,9/5/2016,4,1
Valleyview,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/2/2016,9/5/2016,3,1
Mira River,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,7/29/2016,7/30/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,5/22/2016,5/23/2016,1,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/29/2016,7/31/2016,2,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,8/3/2016,8/5/2016,2,1
Blomidon,BC ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,7/24/2016,7/25/2016,1,1
Porters Lake,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,8/5/2016,8/7/2016,2,1
Valleyview,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,9/2/2016,9/4/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,8/5/2016,8/13/2016,8,1
Five Islands,QC ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,8/9/2016,8/12/2016,3,1
Laurie,PE ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/19/2016,8/22/2016,3,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/24/2016,8/25/2016,1,1
Whycocomagh,AB ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,10/6/2016,10/7/2016,1,1
Blomidon,NS ,CANADA ,2,4,6,Veteran,CampsitePermit,Tents,7/23/2016,7/24/2016,1,1
Porters Lake,QC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/25/2016,7/26/2016,1,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,8/26/2016,8/28/2016,2,1
Five Islands,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/12/2016,8/13/2016,1,1
Blomidon,BC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/16/2016,7/17/2016,1,1
Five Islands,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/13/2016,9/14/2016,1,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/4/2016,7/6/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,8/28/2016,8/31/2016,3,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/26/2016,8/29/2016,3,1
Laurie,NS ,CANADA ,4,,4,Senior,CampsitePermit,Tents,7/30/2016,8/1/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/22/2016,8/25/2016,3,1
The Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/1/2016,7/3/2016,2,1
Battery,QC ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/3/2016,7/4/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,10/1/2016,10/2/2016,1,1
Amherst Shore,QC ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,7/27/2016,7/28/2016,1,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 20ft,9/30/2016,10/1/2016,1,1
Five Islands,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/3/2016,8/5/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/16/2016,9/18/2016,2,1
Amherst Shore,NS ,CANADA ,2,2,4,Senior,CampsitePermit,Less than 30ft,6/30/2016,7/2/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,6/23/2016,6/26/2016,3,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,9/2/2016,9/5/2016,3,1
Thomas Raddall,BC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/26/2016,7/29/2016,3,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,7/30/2016,7/31/2016,1,1
Battery,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/7/2016,8/8/2016,1,1
Battery,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/11/2016,9/12/2016,1,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,5/20/2016,5/22/2016,2,1
Battery,NS ,CANADA ,2,1,3,Full,CampsitePermit,Tents,8/6/2016,8/7/2016,1,1
Smileys,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,9/2/2016,9/4/2016,2,1
Salsman,NS ,CANADA ,6,,6,Full,CampsitePermit,Tents,8/6/2016,8/7/2016,1,1
Cape Chignecto,NB ,CANADA ,2,,2,Full,BackcountryPermit,Single Tent,7/29/2016,7/30/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/10/2016,6/12/2016,2,1
Porters Lake,ON ,CANADA ,1,,1,Full,CampsitePermit,Less than 20ft,8/1/2016,8/2/2016,1,1
The Islands,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,9/2/2016,9/5/2016,3,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/20/2016,8/21/2016,1,1
Amherst Shore,NB ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,7/31/2016,8/4/2016,4,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/8/2016,7/9/2016,1,1
Dollar Lake,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,10/8/2016,10/9/2016,1,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,5/20/2016,5/23/2016,3,1
Graves Island,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,5/20/2016,5/23/2016,3,1
Blomidon,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,8/19/2016,8/21/2016,2,1
Graves Island,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,6/27/2016,6/28/2016,1,1
The Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,9/9/2016,9/11/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/20/2016,8/21/2016,1,1
Battery,NL ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/1/2016,9/2/2016,1,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/2/2016,9/6/2016,4,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/29/2016,7/31/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/7/2016,9/9/2016,2,1
Thomas Raddall,QC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/30/2016,8/31/2016,1,1
Dollar Lake,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,9/17/2016,9/18/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,7/15/2016,7/17/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,9/2/2016,9/3/2016,1,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/19/2016,8/21/2016,2,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/1/2016,9/2/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Greater than 40ft,10/6/2016,10/9/2016,3,1
Battery,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,8/18/2016,8/21/2016,3,1
Caribou Munroes,QC ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/3/2016,8/5/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/9/2016,8/10/2016,1,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/12/2016,8/15/2016,3,1
Ellenwood Lake,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/2/2016,9/4/2016,2,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,10/2/2016,10/3/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/30/2016,10/1/2016,1,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,8/19/2016,8/20/2016,1,1
Porters Lake,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,5/28/2016,5/29/2016,1,1
Dollar Lake,BC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/30/2016,8/31/2016,1,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/8/2016,8/9/2016,1,1
Caribou Munroes,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,7/15/2016,7/16/2016,1,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/3/2016,8/4/2016,1,1
Mira River,QC ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/4/2016,8/6/2016,2,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/29/2016,7/31/2016,2,1
Smileys,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,8/12/2016,8/14/2016,2,1
Laurie,ON ,CANADA ,2,4,6,Full,CampsitePermit,Tents,8/13/2016,8/16/2016,3,1
Porters Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/19/2016,8/22/2016,3,1
Thomas Raddall,NS ,CANADA ,3,1,4,Full,CampsitePermit,Single Tent,6/19/2016,6/21/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/24/2016,8/27/2016,3,1
Graves Island,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/22/2016,8/25/2016,3,1
Ellenwood Lake,NS ,CANADA ,3,3,6,Full,CampsitePermit,Single Tent,8/19/2016,8/21/2016,2,1
Battery,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,6/27/2016,6/28/2016,1,1
Whycocomagh,BC ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,7/2/2016,7/3/2016,1,1
Graves Island,ON ,CANADA ,2,3,5,Full,CampsitePermit,Less than 20ft,7/13/2016,7/16/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/1/2016,6/3/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/24/2016,6/26/2016,2,1
Blomidon,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/2/2016,7/3/2016,1,1
Caribou Munroes,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/14/2016,7/16/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,FULL,CampsitePermit,Less than 30ft,9/1/2016,9/2/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/25/2016,7/26/2016,1,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 40ft,7/22/2016,7/24/2016,2,1
Ellenwood Lake,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/27/2016,7/28/2016,1,1
Dollar Lake,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,9/3/2016,9/5/2016,2,1
Rissers Beach,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,5/20/2016,5/23/2016,3,1
Thomas Raddall,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/31/2016,8/2/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/30/2016,9/1/2016,2,1
Smileys,NS ,CANADA ,4,2,6,Full,CampsitePermit,Tents,9/2/2016,9/5/2016,3,1
Mira River,ON ,CANADA ,2,4,6,Full,CampsitePermit,Tents,7/3/2016,7/5/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 40ft,8/15/2016,8/18/2016,3,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/29/2016,9/2/2016,4,1
Blomidon,NS ,CANADA ,2,,2,Senior,CampsitePermit,Tents,9/2/2016,9/3/2016,1,1
Whycocomagh,NS ,CANADA ,1,,1,Senior,CampsitePermit,Tents,9/6/2016,9/9/2016,3,1
Valleyview,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/14/2016,7/15/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/6/2016,7/7/2016,1,1
Battery,BC ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,7/31/2016,8/1/2016,1,1
Blomidon,QC ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/18/2016,8/19/2016,1,1
Mira River,ON ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,8/29/2016,8/30/2016,1,1
The Islands,NS ,CANADA ,4,2,6,Full,CampsitePermit,Tents,9/2/2016,9/5/2016,3,1
Rissers Beach,AB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/13/2016,9/16/2016,3,1
Cape Chignecto,NS ,CANADA ,4,,4,Full,BackcountryPermit,Tents,7/22/2016,7/23/2016,1,1
Five Islands,QC ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,7/17/2016,7/18/2016,1,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Tents,7/15/2016,7/17/2016,2,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/2/2016,9/3/2016,1,1
Mira River,NL ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,8/24/2016,8/26/2016,2,1
Dollar Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,8/26/2016,8/28/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/15/2016,7/17/2016,2,1
Rissers Beach,ON ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,7/11/2016,7/15/2016,4,1
Mira River,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/25/2016,8/28/2016,3,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/30/2016,7/31/2016,1,1
Dollar Lake,NS ,CANADA ,3,2,5,Full,CampsitePermit,Tents,7/29/2016,8/1/2016,3,1
Whycocomagh,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,8/5/2016,8/6/2016,1,1
Thomas Raddall,NB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/19/2016,8/21/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,9/20/2016,9/22/2016,2,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,8/19/2016,8/21/2016,2,1
Dollar Lake,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/20/2016,8/21/2016,1,1
Battery,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,9/29/2016,9/30/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/16/2016,7/18/2016,2,1
Amherst Shore,NL ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/11/2016,8/12/2016,1,1
Smileys,NB ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/29/2016,9/1/2016,3,1
Ellenwood Lake,NB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/30/2016,7/1/2016,1,1
Battery,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/22/2016,7/25/2016,3,1
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,7/1/2016,7/3/2016,2,1
Thomas Raddall,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/29/2016,6/30/2016,1,1
Graves Island,NS ,CANADA ,2,4,6,Full,CampsitePermit,Less than 20ft,6/30/2016,7/3/2016,3,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/27/2016,7/29/2016,2,1
Cape Chignecto,NB ,CANADA ,1,,1,Full,BackcountryPermit,Single Tent,10/7/2016,10/9/2016,2,1
Rissers Beach,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/24/2016,7/25/2016,1,1
Amherst Shore,NB ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,6/30/2016,7/3/2016,3,1
Graves Island,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,9/2/2016,9/7/2016,5,1
Rissers Beach,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/21/2016,8/23/2016,2,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/24/2016,9/26/2016,2,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,8/6/2016,8/9/2016,3,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/1/2016,7/3/2016,2,1
Porters Lake,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/2/2016,7/4/2016,2,1
Caribou Munroes,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,7/20/2016,7/21/2016,1,1
Graves Island,AB ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,8/27/2016,9/4/2016,8,1
Battery,ON ,CANADA ,3,1,4,Full,CampsitePermit,Less than 20ft,8/25/2016,8/31/2016,6,1
Rissers Beach,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/12/2016,9/13/2016,1,1
Porters Lake,AB ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/21/2016,8/23/2016,2,1
Ellenwood Lake,NS ,CANADA ,2,3,5,Full,CampsitePermit,Tents,8/25/2016,8/28/2016,3,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/24/2016,6/26/2016,2,1
Porters Lake,QC ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,6/25/2016,6/29/2016,4,1
Rissers Beach,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,7/22/2016,7/24/2016,2,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,9/2/2016,9/5/2016,3,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/18/2016,8/21/2016,3,1
Blomidon,NS ,CANADA ,3,1,4,Full,CampsitePermit,Tents,7/13/2016,7/16/2016,3,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/15/2016,7/18/2016,3,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/30/2016,7/1/2016,1,1
Caribou Munroes,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/10/2016,8/11/2016,1,1
Amherst Shore,ON ,CANADA ,5,,5,Senior,CampsitePermit,Less than 30ft,8/2/2016,8/8/2016,6,1
Whycocomagh,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,9/16/2016,9/17/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,9/16/2016,9/18/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,7/22/2016,7/24/2016,2,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/3/2016,7/5/2016,2,1
Mira River,QC ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,7/10/2016,7/11/2016,1,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,9/2/2016,9/5/2016,3,1
Porters Lake,NS ,CANADA ,4,2,6,Full,CampsitePermit,Less than 30ft,8/4/2016,8/8/2016,4,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/20/2016,6/21/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,9/23/2016,9/25/2016,2,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/1/2016,7/3/2016,2,1
Graves Island,QC ,CANADA ,4,,4,Full,CampsitePermit,Tents,8/3/2016,8/4/2016,1,1
Amherst Shore,ON ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/1/2016,8/4/2016,3,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/1/2016,7/2/2016,1,1
Thomas Raddall,NB ,CANADA ,2,4,6,Full,CampsitePermit,Single Tent,8/2/2016,8/3/2016,1,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/26/2016,8/27/2016,1,1
Whycocomagh,NS ,CANADA ,3,1,4,Full,YurtPermit,Tents,8/19/2016,8/21/2016,2,1
Whycocomagh,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,7/31/2016,8/1/2016,1,1
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Tents,7/22/2016,7/24/2016,2,1
The Islands,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,8/19/2016,8/21/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/23/2016,9/25/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/21/2016,8/26/2016,5,1
Caribou Munroes,BC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/19/2016,9/20/2016,1,1
Battery,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,9/9/2016,9/10/2016,1,1
Dollar Lake,NS ,CANADA ,2,4,6,Full,CampsitePermit,Single Tent,8/19/2016,8/21/2016,2,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/10/2016,8/14/2016,4,1
Valleyview,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,9/2/2016,9/5/2016,3,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/15/2016,7/17/2016,2,1
Ellenwood Lake,NS ,CANADA ,3,3,6,Full,CampsitePermit,Tents,6/23/2016,6/27/2016,4,1
Caribou Munroes,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,7/22/2016,7/24/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/2/2016,9/5/2016,3,1
Blomidon,NB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/20/2016,8/21/2016,1,1
Dollar Lake,NS ,CANADA ,1,3,4,Full,CampsitePermit,Single Tent,9/2/2016,9/5/2016,3,1
Smileys,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/10/2016,8/11/2016,1,1
Blomidon,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,5/21/2016,5/23/2016,2,1
Mira River,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 40ft,6/10/2016,6/12/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,9/1/2016,9/5/2016,4,1
Five Islands,NS ,CANADA ,2,,2,Host,CampsitePermit,Single Tent,8/29/2016,9/5/2016,7,1
Laurie,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/19/2016,6/20/2016,1,1
Graves Island,NS ,CANADA ,1,,1,Full,CampsitePermit,Less than 30ft,6/23/2016,6/26/2016,3,1
Blomidon,NS ,CANADA ,4,2,6,Full,CampsitePermit,Less than 30ft,9/2/2016,9/5/2016,3,1
Blomidon,NS ,CANADA ,1,1,2,Full,CampsitePermit,Single Tent,6/25/2016,6/27/2016,2,1
Five Islands,ON ,CANADA ,2,4,6,Full,CampsitePermit,Single Tent,7/18/2016,7/20/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,6/17/2016,6/19/2016,2,1
Mira River,NS ,CANADA ,5,,5,Full,CampsitePermit,Single Tent,7/16/2016,7/17/2016,1,1
Smileys,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/29/2016,7/31/2016,2,1
Battery,QC ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,8/4/2016,8/5/2016,1,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,8/19/2016,8/21/2016,2,1
Mira River,NL ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,7/13/2016,7/15/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/20/2016,7/21/2016,1,1
Dollar Lake,NS ,CANADA ,3,2,5,Full,CampsitePermit,Single Tent,8/23/2016,8/26/2016,3,1
Mira River,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,8/26/2016,8/29/2016,3,1
Caribou Munroes,NB ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/10/2016,8/11/2016,1,1
Laurie,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/21/2016,8/24/2016,3,1
Thomas Raddall,NS ,CANADA ,3,,3,Full,CampsitePermit,Single Tent,9/16/2016,9/17/2016,1,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/21/2016,8/24/2016,3,1
